#header line: GPU processors,avg,error_bar,run1,run2,run3
1,2585.26018251,36.24798056000009,2570.86216432,2577.80823833,2607.11014488
4,668.4274755366667,53.05957592999994,651.2356701,650.49359029,703.55316622
8,336.69874744,39.385103579999964,362.8384296,323.45332602,323.8044867
12,216.93753321333335,2.3971487400000058,218.29185129,216.6260458,215.89470255
16,164.54854341333333,1.5545370499999933,164.46169337,165.36923696,163.81469991
20,132.72823569666667,0.6006943499999977,132.34725673,132.88949928,132.94795108
24,112.20701510333333,1.189417800000001,111.7981145,111.83539851,112.9875323
28,103.26159810333333,0.359555610000001,103.12379324,103.48334885,103.17765222
32,93.22740455333333,0.5291116100000011,93.12346949,93.54392789,93.01481628
36,83.26299264000001,0.5916712600000125,83.3704205,82.91344308,83.50511434
40,76.70759733666667,1.876911320000005,76.62489281,75.81049394,77.68740526
44,69.55678383666667,0.3746696500000013,69.5142533,69.76538393,69.39071428
48,65.03021168666668,1.3605808800000005,65.57181092,64.21123004,65.3075941
